Year,Historical Data,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
2000,1374300,1374300,1374300,1374300,1374300,1374300
2001,1376292,1376292,1376292,1376292,1376292,1376292
2002,1464077,1464077,1464077,1464077,1464077,1464077
2003,1602882,1602882,1602882,1602882,1602882,1602882
2004,1702639,1702639,1702639,1702639,1702639,1702639
2005,1505100,1505100,1505100,1505100,1505100,1505100
2006,1575485,1575485,1575485,1575485,1575485,1575485
2007,1691973,1691973,1691973,1691973,1691973,1691973
2008,1807635,1807635,1807635,1807635,1807635,1807635
2009,1857136,1857136,1857136,1857136,1857136,1857136
2010,1916621,1916621,1916621,1916621,1916621,1916621
2011,1921768,1921768,1921768,1921768,1921768,1921768
2012,1876808,1876808,1876808,1876808,1876808,1876808
2013,1867531,1867531,1867531,1867531,1867531,1867531
2014,1893775,1893775,1893775,1893775,1893775,1893775
2015,1887941,1887941,1887941,1887941,1887941,1887941
2016,1901161,1901161,1901161,1901161,1901161,1901161
2017,1919358,1919358,1919358,1919358,1919358,1919358
2018,1918192,1918192,1918192,1918192,1918192,1918192
2019,1962922,1962922,1962922,1962922,1962922,1962922
2020,1855380,1855380,1855380,1855380,1855380,1855380
2021,1752829,1752829,1752829,1752829,1752829,1752829
2022,1737829,1737829,1737829,1737829,1737829,1737829
2023,,1714000,1733000,1789000,1758000,1710000
2024,,1690000,1728000,1840000,1778000,1682000
2025,,1666000,1723000,1891000,1798000,1654000
2026,,1642000,1718000,1942000,1818000,1626000
2027,,1618000,1713000,1993000,1838000,1598000
2028,,1594000,1708000,2044000,1858000,1570000
2029,,1570000,1703000,2095000,1878000,1542000
2030,,1546000,1698000,2146000,1898000,1514000
2031,,1522000,1690000,2197000,1918000,1486000
2032,,1490000,1690000,2250000,1950000,1450000